,country,year,population,iso_alpha
1295,Papua New Guinea,1985,4081022,PNG
1296,Papua New Guinea,1990,4615843,PNG
1297,Papua New Guinea,1995,5187063,PNG
1298,Papua New Guinea,2000,5847590,PNG
1299,Papua New Guinea,2005,6494902,PNG
1300,Papua New Guinea,2010,7310512,PNG
1301,Papua New Guinea,2015,8107772,PNG
1302,Paraguay,1980,3181627,PRY
1303,Paraguay,1985,3676206,PRY
1304,Paraguay,1990,4223413,PRY
1305,Paraguay,1995,4776838,PRY
1306,Paraguay,2000,5323202,PRY
1307,Paraguay,2005,5824095,PRY
1308,Paraguay,2010,6248017,PRY
1309,Paraguay,2015,6688746,PRY
1310,Peru,1980,17547612,PER
1311,Peru,1985,19772871,PER
1312,Peru,1990,22071433,PER
1313,Peru,1995,24299168,PER
1314,Peru,2000,26459944,PER
1315,Peru,2005,27866140,PER
1316,Peru,2010,29027680,PER
1317,Peru,2015,30470739,PER
1318,Philippines,1980,47357741,PHL
1319,Philippines,1985,54275836,PHL
1320,Philippines,1990,61895169,PHL
1321,Philippines,1995,69784087,PHL
1322,Philippines,2000,77991757,PHL
1323,Philippines,2005,86326251,PHL
1324,Philippines,2010,93966784,PHL
1325,Philippines,2015,102113206,PHL
1326,Poland,1980,35539723,POL
1327,Poland,1985,37133860,POL
1328,Poland,1990,37960193,POL
1329,Poland,1995,38458642,POL
1330,Poland,2000,38556699,POL
1331,Poland,2005,38368957,POL
1332,Poland,2010,38329784,POL
1333,Poland,2015,38034076,POL
1334,Portugal,1980,9750966,PRT
1335,Portugal,1985,9929176,PRT
1336,Portugal,1990,9895358,PRT
1337,Portugal,1995,10091322,PRT
1338,Portugal,2000,10297117,PRT
1339,Portugal,2005,10508494,PRT
1340,Portugal,2010,10596055,PRT
1341,Portugal,2015,10368346,PRT
1342,Puerto Rico,1980,3090688,PRI
1343,Puerto Rico,1985,3263173,PRI
1344,Puerto Rico,1990,3403168,PRI
1345,Puerto Rico,1995,3567691,PRI
1346,Puerto Rico,2000,3668955,PRI
1347,Puerto Rico,2005,3631885,PRI
1348,Puerto Rico,2010,3579842,PRI
1349,Puerto Rico,2015,3381512,PRI
1350,Qatar,1980,223622,QAT
1351,Qatar,1985,370886,QAT
1352,Qatar,1990,476275,QAT
1353,Qatar,1995,513447,QAT
1354,Qatar,2000,592467,QAT
1355,Qatar,2005,865410,QAT
1356,Qatar,2010,1856329,QAT
1357,Qatar,2015,2565708,QAT
1358,Reunion,1980,509264,REU
1359,Reunion,1985,558704,REU
1360,Reunion,1990,610584,REU
1361,Reunion,1995,673543,REU
1362,Reunion,2000,736714,REU
1363,Reunion,2005,791598,REU
1364,Reunion,2010,830507,REU
1365,Reunion,2015,863359,REU
1366,Romania,1980,22615644,ROU
1367,Romania,1985,23071258,ROU
1368,Romania,1990,23489156,ROU
1369,Romania,1995,22964747,ROU
1370,Romania,2000,22137423,ROU
1371,Romania,2005,21417287,ROU
1372,Romania,2010,20471860,ROU
1373,Romania,2015,19925182,ROU
1374,Russia,1980,138053143,RUS
1375,Russia,1985,142957289,RUS
1376,Russia,1990,147531562,RUS
1377,Russia,1995,148227471,RUS
1378,Russia,2000,146404890,RUS
1379,Russia,2005,143672125,RUS
1380,Russia,2010,143479273,RUS
1381,Russia,2015,144985059,RUS
1382,Rwanda,1980,5153314,RWA
1383,Rwanda,1985,6146884,RWA
1384,Rwanda,1990,7288883,RWA
1385,Rwanda,1995,5836490,RWA
1386,Rwanda,2000,7933688,RWA
1387,Rwanda,2005,8840220,RWA
1388,Rwanda,2010,10039338,RWA
1389,Rwanda,2015,11369066,RWA
1390,Saint Helena,1980,6584,SHN
1391,Saint Helena,1985,6818,SHN
1392,Saint Helena,1990,6654,SHN
1393,Saint Helena,1995,6244,SHN
1394,Saint Helena,2000,6054,SHN
1395,Saint Helena,2005,5354,SHN
1396,Saint Helena,2010,5183,SHN
1397,Saint Helena,2015,5869,SHN
1398,Saint Kitts and Nevis,1980,43201,KNA
1399,Saint Kitts and Nevis,1985,41874,KNA
1400,Saint Kitts and Nevis,1990,40260,KNA
1401,Saint Kitts and Nevis,1995,42077,KNA
1402,Saint Kitts and Nevis,2000,44083,KNA
1403,Saint Kitts and Nevis,2005,46852,KNA
1404,Saint Kitts and Nevis,2010,49011,KNA
1405,Saint Kitts and Nevis,2015,51204,KNA
1406,Saint Lucia,1980,117828,LCA
1407,Saint Lucia,1985,126246,LCA
1408,Saint Lucia,1990,138019,LCA
1409,Saint Lucia,1995,146871,LCA
1410,Saint Lucia,2000,156737,LCA
1411,Saint Lucia,2005,163408,LCA
1412,Saint Lucia,2010,174092,LCA
1413,Saint Lucia,2015,179131,LCA
1414,Saint Martin (French part),1980,8777,MAF
1415,Saint Martin (French part),1985,11066,MAF
1416,Saint Martin (French part),1990,31522,MAF
1417,Saint Martin (French part),1995,27320,MAF
1418,Saint Martin (French part),2000,28935,MAF
1419,Saint Martin (French part),2005,34252,MAF
1420,Saint Martin (French part),2010,37582,MAF
1421,Saint Martin (French part),2015,35865,MAF
1422,Saint Pierre and Miquelon,1980,6129,SPM
1423,Saint Pierre and Miquelon,1985,6017,SPM
1424,Saint Pierre and Miquelon,1990,6385,SPM
1425,Saint Pierre and Miquelon,1995,6389,SPM
1426,Saint Pierre and Miquelon,2000,6298,SPM
1427,Saint Pierre and Miquelon,2005,6113,SPM
1428,Saint Pierre and Miquelon,2010,6361,SPM
1429,Saint Pierre and Miquelon,2015,5992,SPM
1430,Saint Vincent and the Grenadines,1980,100566,VCT
1431,Saint Vincent and the Grenadines,1985,104503,VCT
1432,Saint Vincent and the Grenadines,1990,107489,VCT
1433,Saint Vincent and the Grenadines,1995,108043,VCT
1434,Saint Vincent and the Grenadines,2000,107787,VCT
1435,Saint Vincent and the Grenadines,2005,108617,VCT
1436,Saint Vincent and the Grenadines,2010,108260,VCT
1437,Saint Vincent and the Grenadines,2015,109135,VCT
1438,Samoa,1980,155522,WSM
1439,Samoa,1985,159995,WSM
1440,Samoa,1990,162797,WSM
1441,Samoa,1995,170050,WSM
1442,Samoa,2000,174454,WSM
1443,Samoa,2005,179722,WSM
1444,Samoa,2010,185944,WSM
1445,Samoa,2015,193510,WSM
1446,San Marino,1980,21453,SMR
1447,San Marino,1985,22794,SMR
1448,San Marino,1990,24124,SMR
1449,San Marino,1995,25925,SMR
1450,San Marino,2000,27460,SMR
1451,San Marino,2005,29324,SMR
1452,San Marino,2010,31221,SMR
1453,San Marino,2015,33270,SMR
1454,Sao Tome and Principe,1980,95788,STP
1455,Sao Tome and Principe,1985,104926,STP
1456,Sao Tome and Principe,1990,119211,STP
1457,Sao Tome and Principe,1995,131679,STP
1458,Sao Tome and Principe,2000,142264,STP
1459,Sao Tome and Principe,2005,157472,STP
1460,Sao Tome and Principe,2010,180372,STP
1461,Sao Tome and Principe,2015,199439,STP
1462,Saudi Arabia,1980,9691471,SAU
1463,Saudi Arabia,1985,13118998,SAU
1464,Saudi Arabia,1990,16233786,SAU
1465,Saudi Arabia,1995,18638790,SAU
1466,Saudi Arabia,2000,20663840,SAU
1467,Saudi Arabia,2005,23816175,SAU
1468,Saudi Arabia,2010,27421468,SAU
1469,Saudi Arabia,2015,31717676,SAU
1470,Senegal,1980,5583157,SEN
1471,Senegal,1985,6471329,SEN
1472,Senegal,1990,7526306,SEN
1473,Senegal,1995,8690155,SEN
1474,Senegal,2000,9797731,SEN
1475,Senegal,2005,11090123,SEN
1476,Senegal,2010,12678143,SEN
1477,Senegal,2015,14578450,SEN
1478,Serbia,1980,8908295,SRB
1479,Serbia,1985,9253396,SRB
1480,Serbia,1990,9517677,SRB
1481,Serbia,1995,9884145,SRB
1482,Serbia,2000,9487612,SRB
1483,Serbia,2005,9193818,SRB
1484,Serbia,2010,8991258,SRB
1485,Serbia,2015,8876777,SRB
1486,Seychelles,1980,66237,SYC
1487,Seychelles,1985,69772,SYC
1488,Seychelles,1990,70572,SYC
1489,Seychelles,1995,76653,SYC
1490,Seychelles,2000,80998,SYC
1491,Seychelles,2005,88652,SYC
1492,Seychelles,2010,91273,SYC
1493,Seychelles,2015,94981,SYC
1494,Sierra Leone,1980,3388494,SLE
1495,Sierra Leone,1985,3805304,SLE
1496,Sierra Leone,1990,4319763,SLE
1497,Sierra Leone,1995,4303953,SLE
1498,Sierra Leone,2000,4584570,SLE
1499,Sierra Leone,2005,5645629,SLE
1500,Sierra Leone,2010,6415636,SLE
1501,Sierra Leone,2015,7171909,SLE
1502,Singapore,1980,2411690,SGP
1503,Singapore,1985,2705537,SGP
1504,Singapore,1990,3012968,SGP
1505,Singapore,1995,3525964,SGP
1506,Singapore,2000,4028872,SGP
1507,Singapore,2005,4265693,SGP
1508,Singapore,2010,5131170,SGP
1509,Singapore,2015,5592143,SGP
1510,Sint Maarten (Dutch part),1980,13097,SXM
1511,Sint Maarten (Dutch part),1985,19127,SXM
1512,Sint Maarten (Dutch part),1990,28814,SXM
1513,Sint Maarten (Dutch part),1995,31164,SXM
1514,Sint Maarten (Dutch part),2000,32564,SXM
1515,Sint Maarten (Dutch part),2005,33436,SXM
1516,Sint Maarten (Dutch part),2010,34166,SXM
1517,Sint Maarten (Dutch part),2015,39967,SXM
1518,Slovakia,1980,4996730,SVK
1519,Slovakia,1985,5166787,SVK
1520,Slovakia,1990,5288455,SVK
1521,Slovakia,1995,5375470,SVK
1522,Slovakia,2000,5399207,SVK
1523,Slovakia,2005,5398962,SVK
1524,Slovakia,2010,5404293,SVK
1525,Slovakia,2015,5435614,SVK
1526,Slovenia,1980,1835842,SVN
1527,Slovenia,1985,1945129,SVN
1528,Slovenia,1990,2006404,SVN
1529,Slovenia,1995,1991126,SVN
1530,Slovenia,2000,1987710,SVN
1531,Slovenia,2005,1994979,SVN
1532,Slovenia,2010,2043336,SVN
1533,Slovenia,2015,2071199,SVN
1534,Solomon Islands,1980,230550,SLB
1535,Solomon Islands,1985,270787,SLB
1536,Solomon Islands,1990,311869,SLB
1537,Solomon Islands,1995,359276,SLB
1538,Solomon Islands,2000,412665,SLB
1539,Solomon Islands,2005,469918,SLB
1540,Solomon Islands,2010,527861,SLB
1541,Solomon Islands,2015,603133,SLB
1542,Somalia,1980,6281138,SOM
1543,Somalia,1985,6648628,SOM
1544,Somalia,1990,7225089,SOM
1545,Somalia,1995,7491647,SOM
1546,Somalia,2000,8872250,SOM
1547,Somalia,2005,10446856,SOM
1548,Somalia,2010,12043886,SOM
1549,Somalia,2015,13797204,SOM
1550,South Africa,1980,28556771,ZAF
1551,South Africa,1985,32678876,ZAF
1552,South Africa,1990,36800507,ZAF
1553,South Africa,1995,41435761,ZAF
1554,South Africa,2000,44967713,ZAF
1555,South Africa,2005,47880595,ZAF
1556,South Africa,2010,51216967,ZAF
1557,South Africa,2015,55386369,ZAF
1558,South Korea,1980,38045605,KOR
1559,South Korea,1985,40804406,KOR
1560,South Korea,1990,42918416,KOR
1561,South Korea,1995,45292521,KOR
1562,South Korea,2000,47379237,KOR
1563,South Korea,2005,48701069,KOR
1564,South Korea,2010,49545638,KOR
1565,South Korea,2015,50823087,KOR
1566,South Sudan,1980,4502603,SSD
1567,South Sudan,1985,5220748,SSD
1568,South Sudan,1990,5492620,SSD
1569,South Sudan,1995,5118084,SSD
1570,South Sudan,2000,6199396,SSD
1571,South Sudan,2005,7535931,SSD
1572,South Sudan,2010,9508372,SSD
1573,South Sudan,2015,10715657,SSD
1574,Spain,1980,37698200,ESP
1575,Spain,1985,38733866,ESP
1576,Spain,1990,39202524,ESP
1577,Spain,1995,39787413,ESP
1578,Spain,2000,40824745,ESP
1579,Spain,2005,44019118,ESP
1580,Spain,2010,46931011,ESP
1581,Spain,2015,46671919,ESP
1582,Sri Lanka,1980,15035840,LKA
1583,Sri Lanka,1985,16176282,LKA
1584,Sri Lanka,1990,17325769,LKA
1585,Sri Lanka,1995,18242917,LKA
1586,Sri Lanka,2000,18777606,LKA
1587,Sri Lanka,2005,19544988,LKA
1588,Sri Lanka,2010,20261738,LKA
1589,Sri Lanka,2015,20908024,LKA
1590,Sudan,1980,14507466,SDN
1591,Sudan,1985,17210182,SDN
1592,Sudan,1990,20147592,SDN
1593,Sudan,1995,24094741,SDN
1594,Sudan,2000,27275019,SDN
1595,Sudan,2005,30949514,SDN
1596,Sudan,2010,34545014,SDN
1597,Sudan,2015,38902948,SDN
1598,Suriname,1980,359531,SUR
1599,Suriname,1985,368636,SUR
1600,Suriname,1990,405169,SUR
1601,Suriname,1995,441851,SUR
1602,Suriname,2000,470944,SUR
1603,Suriname,2005,499461,SUR
1604,Suriname,2010,529126,SUR
1605,Suriname,2015,559136,SUR
1606,Svalbard and Jan Mayen,1980,1960,SJM
1607,Svalbard and Jan Mayen,1990,2178,SJM
1608,Svalbard and Jan Mayen,2000,2420,SJM
1609,Svalbard and Jan Mayen,2005,2410,SJM
1610,Svalbard and Jan Mayen,2010,2400,SJM
1611,Svalbard and Jan Mayen,2015,2400,SJM
1612,Sweden,1980,8316331,SWE
1613,Sweden,1985,8357650,SWE
1614,Sweden,1990,8567375,SWE
1615,Sweden,1995,8836421,SWE
1616,Sweden,2000,8881642,SWE
1617,Sweden,2005,9038627,SWE
1618,Sweden,2010,9390157,SWE
1619,Sweden,2015,9764949,SWE
1620,Switzerland,1980,6283833,CHE
1621,Switzerland,1985,6435424,CHE
1622,Switzerland,1990,6652873,CHE
1623,Switzerland,1995,6995519,CHE
1624,Switzerland,2000,7143764,CHE
1625,Switzerland,2005,7386818,CHE
1626,Switzerland,2010,7808674,CHE
1627,Switzerland,2015,8296775,CHE
1628,Syria,1980,8930776,SYR
1629,Syria,1985,10648633,SYR
1630,Syria,1990,12446168,SYR
1631,Syria,1995,14345491,SYR
1632,Syria,2000,16410847,SYR
1633,Syria,2005,18361178,SYR
1634,Syria,2010,21362541,SYR
1635,Syria,2015,17997411,SYR
1636,Taiwan,1980,17905459,TWN
1637,Taiwan,1985,19303402,TWN
1638,Taiwan,1990,20478516,TWN
1639,Taiwan,1995,21356025,TWN
1640,Taiwan,2000,21966528,TWN
1641,Taiwan,2005,22705719,TWN
1642,Taiwan,2010,23187556,TWN
1643,Taiwan,2015,23557473,TWN
1644,Tajikistan,1980,3905443,TJK
1645,Tajikistan,1985,4537820,TJK
1646,Tajikistan,1990,5283811,TJK
1647,Tajikistan,1995,5764806,TJK
1648,Tajikistan,2000,6216329,TJK
1649,Tajikistan,2005,6789318,TJK
1650,Tajikistan,2010,7527397,TJK
1651,Tajikistan,2015,8454019,TJK
1652,Tanzania,1980,18538263,TZA
1653,Tanzania,1985,21633799,TZA
1654,Tanzania,1990,25203848,TZA
1655,Tanzania,1995,29649128,TZA
1656,Tanzania,2000,33499177,TZA
1657,Tanzania,2005,38450323,TZA
1658,Tanzania,2010,44346532,TZA
1659,Tanzania,2015,51482638,TZA
1660,Thailand,1980,47374463,THA
1661,Thailand,1985,52026901,THA
1662,Thailand,1990,56558196,THA
1663,Thailand,1995,59467272,THA
1664,Thailand,2000,62952639,THA
1665,Thailand,2005,65416189,THA
1666,Thailand,2010,67195032,THA
1667,Thailand,2015,68714519,THA
1668,Timor,1980,599907,TLS
1669,Timor,1985,657061,TLS
1670,Timor,1990,737814,TLS
1671,Timor,1995,844333,TLS
1672,Timor,2000,884366,TLS
1673,Timor,2005,995130,TLS
1674,Timor,2010,1093517,TLS
1675,Timor,2015,1196294,TLS
1676,Togo,1980,2720835,TGO
1677,Togo,1985,3252997,TGO
1678,Togo,1990,3774310,TGO
1679,Togo,1995,4226293,TGO
1680,Togo,2000,4924406,TGO
1681,Togo,2005,5611643,TGO
1682,Togo,2010,6421674,TGO
1683,Togo,2015,7323162,TGO
1684,Tokelau,1980,1543,TKL
1685,Tokelau,1985,1714,TKL
1686,Tokelau,1990,1604,TKL
1687,Tokelau,1995,1507,TKL
1688,Tokelau,2000,1550,TKL
1689,Tokelau,2005,1213,TKL
1690,Tokelau,2010,1129,TKL
1691,Tokelau,2015,1247,TKL
1692,Tonga,1980,92966,TON
1693,Tonga,1985,93896,TON
1694,Tonga,1990,95069,TON
1695,Tonga,1995,95972,TON
1696,Tonga,2000,97962,TON
1697,Tonga,2005,100908,TON
1698,Tonga,2010,103981,TON
1699,Tonga,2015,100780,TON
1700,Trinidad and Tobago,1980,1084743,TTO
1701,Trinidad and Tobago,1985,1170296,TTO
1702,Trinidad and Tobago,1990,1221121,TTO
1703,Trinidad and Tobago,1995,1254200,TTO
1704,Trinidad and Tobago,2000,1267159,TTO
1705,Trinidad and Tobago,2005,1296497,TTO
1706,Trinidad and Tobago,2010,1328144,TTO
1707,Trinidad and Tobago,2015,1370332,TTO
1708,Tunisia,1980,6374040,TUN
1709,Tunisia,1985,7329590,TUN
1710,Tunisia,1990,8242509,TUN
1711,Tunisia,1995,9125400,TUN
1712,Tunisia,2000,9708347,TUN
1713,Tunisia,2005,10106778,TUN
1714,Tunisia,2010,10635245,TUN
1715,Tunisia,2015,11179951,TUN
1716,Turkey,1980,43975972,TUR
1717,Turkey,1985,49133928,TUR
1718,Turkey,1990,53921758,TUR
1719,Turkey,1995,58486453,TUR
1720,Turkey,2000,63240196,TUR
1721,Turkey,2005,67903461,TUR
1722,Turkey,2010,72326992,TUR
1723,Turkey,2015,78529413,TUR
1724,Turkmenistan,1980,2876809,TKM
1725,Turkmenistan,1985,3244024,TKM
1726,Turkmenistan,1990,3683978,TKM
1727,Turkmenistan,1995,4207841,TKM
1728,Turkmenistan,2000,4516128,TKM
1729,Turkmenistan,2005,4754652,TKM
1730,Turkmenistan,2010,5087211,TKM
1731,Turkmenistan,2015,5565283,TKM
1732,Turks and Caicos Islands,1980,7894,TCA
1733,Turks and Caicos Islands,1985,9974,TCA
1734,Turks and Caicos Islands,1990,12115,TCA
1735,Turks and Caicos Islands,1995,16221,TCA
1736,Turks and Caicos Islands,2000,20171,TCA
1737,Turks and Caicos Islands,2005,28181,TCA
1738,Turks and Caicos Islands,2010,32658,TCA
1739,Turks and Caicos Islands,2015,35979,TCA
1740,Tuvalu,1980,7631,TUV
1741,Tuvalu,1985,8211,TUV
1742,Tuvalu,1990,8910,TUV
1743,Tuvalu,1995,9298,TUV
1744,Tuvalu,2000,9392,TUV
1745,Tuvalu,2005,9997,TUV
1746,Tuvalu,2010,10521,TUV
1747,Tuvalu,2015,11099,TUV
1748,Uganda,1980,12442333,UGA
1749,Uganda,1985,14559357,UGA
1750,Uganda,1990,17354395,UGA
1751,Uganda,1995,20413157,UGA
1752,Uganda,2000,23650159,UGA
1753,Uganda,2005,27684590,UGA
1754,Uganda,2010,32428164,UGA
1755,Uganda,2015,38225447,UGA
1756,Ukraine,1980,49965872,UKR
1757,Ukraine,1985,50919275,UKR
1758,Ukraine,1990,51463101,UKR
1759,Ukraine,1995,50903783,UKR
1760,Ukraine,2000,48838058,UKR
1761,Ukraine,2005,46890775,UKR
1762,Ukraine,2010,45792086,UKR
1763,Ukraine,2015,44921636,UKR
1764,United Arab Emirates,1980,1019507,ARE
1765,United Arab Emirates,1985,1366165,ARE
1766,United Arab Emirates,1990,1828437,ARE
1767,United Arab Emirates,1995,2415099,ARE
1768,United Arab Emirates,2000,3134067,ARE
1769,United Arab Emirates,2005,4588222,ARE
1770,United Arab Emirates,2010,8549998,ARE
1771,United Arab Emirates,2015,9262896,ARE
1772,United Kingdom,1980,56209164,GBR
1773,United Kingdom,1985,56413555,GBR
1774,United Kingdom,1990,57134377,GBR
1775,United Kingdom,1995,57932450,GBR
1776,United Kingdom,2000,58923305,GBR
1777,United Kingdom,2005,60287953,GBR
1778,United Kingdom,2010,63459801,GBR
1779,United Kingdom,2015,65860149,GBR
1780,United States,1980,229476360,USA
1781,United States,1985,240499822,USA
1782,United States,1990,252120309,USA
1783,United States,1995,265163740,USA
1784,United States,2000,281710914,USA
1785,United States,2005,294993509,USA
1786,United States,2010,309011469,USA
1787,United States,2015,320878312,USA
1788,United States Virgin Islands,1980,99089,VIR
1789,United States Virgin Islands,1985,105279,VIR
1790,United States Virgin Islands,1990,103755,VIR
1791,United States Virgin Islands,1995,107388,VIR
1792,United States Virgin Islands,2000,108730,VIR
1793,United States Virgin Islands,2005,107801,VIR
1794,United States Virgin Islands,2010,106086,VIR
1795,United States Virgin Islands,2015,104950,VIR
1796,Uruguay,1980,2915389,URY
1797,Uruguay,1985,3011519,URY
1798,Uruguay,1990,3109598,URY
1799,Uruguay,1995,3224275,URY
1800,Uruguay,2000,3319734,URY
1801,Uruguay,2005,3321799,URY
1802,Uruguay,2010,3359273,URY
1803,Uruguay,2015,3412013,URY
1804,Uzbekistan,1980,15898760,UZB
1805,Uzbekistan,1985,18061283,UZB
1806,Uzbekistan,1990,20398347,UZB
1807,Uzbekistan,1995,22791033,UZB
1808,Uzbekistan,2000,24769955,UZB
1809,Uzbekistan,2005,26427785,UZB
1810,Uzbekistan,2010,28515908,UZB
1811,Uzbekistan,2015,30929556,UZB
1812,Vanuatu,1980,115598,VUT
1813,Vanuatu,1985,129989,VUT
1814,Vanuatu,1990,146575,VUT
1815,Vanuatu,1995,168161,VUT
1816,Vanuatu,2000,184964,VUT
1817,Vanuatu,2005,209282,VUT
1818,Vanuatu,2010,236216,VUT
1819,Vanuatu,2015,271128,VUT
1820,Vatican,1980,725,VAT
1821,Vatican,1985,740,VAT
1822,Vatican,1990,762,VAT
1823,Vatican,1995,778,VAT
1824,Vatican,2000,790,VAT
1825,Vatican,2005,798,VAT
1826,Vatican,2010,783,VAT
1827,Vatican,2015,790,VAT
1828,Venezuela,1980,15182616,VEN
1829,Venezuela,1985,17319513,VEN
1830,Venezuela,1990,19632665,VEN
1831,Venezuela,1995,21931087,VEN
1832,Venezuela,2000,24192449,VEN
1833,Venezuela,2005,26432445,VEN
1834,Venezuela,2010,28439942,VEN
1835,Venezuela,2015,30081827,VEN
1836,Vietnam,1980,54281841,VNM
1837,Vietnam,1985,60896732,VNM
1838,Vietnam,1990,67988855,VNM
1839,Vietnam,1995,74910462,VNM
1840,Vietnam,2000,79910411,VNM
1841,Vietnam,2005,83832662,VNM
1842,Vietnam,2010,87967655,VNM
1843,Vietnam,2015,92677082,VNM
1844,Wallis and Futuna,1980,11234,WLF
1845,Wallis and Futuna,1985,13625,WLF
1846,Wallis and Futuna,1990,13794,WLF
1847,Wallis and Futuna,1995,14147,WLF
1848,Wallis and Futuna,2000,14697,WLF
1849,Wallis and Futuna,2005,14937,WLF
1850,Wallis and Futuna,2010,12686,WLF
1851,Wallis and Futuna,2015,12262,WLF
1852,Western Sahara,1980,150860,ESH
1853,Western Sahara,1985,182419,ESH
1854,Western Sahara,1990,217258,ESH
1855,Western Sahara,1995,255635,ESH
1856,Western Sahara,2000,314116,ESH
1857,Western Sahara,2005,437516,ESH
1858,Western Sahara,2010,480268,ESH
1859,Western Sahara,2015,526211,ESH
1860,World,1980,4458274952,OWID_WRL
1861,World,1985,4870921665,OWID_WRL
1862,World,1990,5327529078,OWID_WRL
1863,World,1995,5744212929,OWID_WRL
1864,World,2000,6143776621,OWID_WRL
1865,World,2005,6542205330,OWID_WRL
1866,World,2010,6957137521,OWID_WRL
1867,World,2015,7380117870,OWID_WRL
1868,Yemen,1980,7941903,YEM
1869,Yemen,1985,9572170,YEM
1870,Yemen,1990,11709987,YEM
1871,Yemen,1995,14913313,YEM
1872,Yemen,2000,17409071,YEM
1873,Yemen,2005,20107416,YEM
1874,Yemen,2010,23154854,YEM
1875,Yemen,2015,26497881,YEM
1876,Zambia,1980,5851818,ZMB
1877,Zambia,1985,6923148,ZMB
1878,Zambia,1990,8036849,ZMB
1879,Zambia,1995,9096608,ZMB
1880,Zambia,2000,10415942,ZMB
1881,Zambia,2005,11856244,ZMB
1882,Zambia,2010,13605986,ZMB
1883,Zambia,2015,15879370,ZMB
1884,Zimbabwe,1980,7408630,ZWE
1885,Zimbabwe,1985,8877489,ZWE
1886,Zimbabwe,1990,10432409,ZWE
1887,Zimbabwe,1995,11410721,ZWE
1888,Zimbabwe,2000,11881482,ZWE
1889,Zimbabwe,2005,12076697,ZWE
1890,Zimbabwe,2010,12697728,ZWE
1891,Zimbabwe,2015,13814642,ZWE
